Words,Similarity
polyethylene,1.0
polyester,0.692155
plastics,0.6347231
pvc,0.58123034
latex,0.5701355
tubing,0.54389995
tinplate,0.5122581
rubber,0.50691366
acetylene,0.4940699
methanol,0.47726503
filament,0.4689605
cement,0.46809185
thickener,0.46487996
plywood,0.45328373
cotton,0.43843317
bamboo,0.4307985
hydroxide,0.42674953
detergent,0.42328078
joist,0.41665024
gelatin,0.415781
mulch,0.4074935
cork,0.4069745
nitrogen,0.40609244
ammonium,0.40195602
chlorine,0.39737254
ammonia,0.3964061
superconductor,0.3961152
zipper,0.39443725
tube,0.39052525
limestone,0.38733956
garment,0.38691232
gauze,0.38624188
container,0.38586178
sulfite,0.38533464
newsprint,0.37883854
glue,0.37860096
abrasion,0.37632883
inks,0.37162673
concrete,0.37050855
fireproofing,0.37028736
preservative,0.37004256
margarine,0.36950296
electrode,0.3691682
cornhusk,0.36908862
oil,0.3670647
oilcloth,0.36612824
freon,0.36415738
sharkskin,0.36384162
gingerroot,0.3632309
valve,0.36309466
ethyl,0.36190635
scrubber,0.36111826
cedar,0.3596501
hose,0.35924864
drywall,0.3573915
bran,0.35682535
licorice,0.35281384
ibuprofen,0.35270298
outer,0.35207114
kelp,0.35166365
compacter,0.35129955
muslin,0.3508914
pleat,0.3508038
satin,0.34795132
cobalt,0.34674743
sandpaper,0.3453403
plant,0.3443768
evaporator,0.34147194
sugarcane,0.34080568
rice,0.34015685
teabag,0.3381608
tissue,0.33802298
paper,0.33792743
bedspring,0.3376693
prosthesis,0.33758906
wires,0.33578366
lime,0.3355267
diaphragm,0.33005625
confectionery,0.32969356
kitchenware,0.3295074
inlay,0.32713586
jelly,0.3256169
slipcover,0.32461703
charcoal,0.32381964
vegetable,0.3230264
varnish,0.32262805
undercoating,0.32246533
enzyme,0.3222574
pipette,0.32219395
jellyroll,0.32198912
transistor,0.32183707
tupperware,0.32060125
bleach,0.32039782
birch,0.32010663
plants,0.31987324
roller,0.31910446
vellum,0.31894842
tesla,0.31889334
plunger,0.31867063
sprayer,0.31803608
shrub,0.317974
toiletry,0.31785464
tin,0.31617343
sweetener,0.31605545
sapphire,0.31559768
whalebone,0.3155729
prosthetics,0.3151794
blackhead,0.3141151
microprobe,0.31354967
spore,0.31332844
suppository,0.31332088
straw,0.31322816
beads,0.31320715
wheat,0.31261688
borax,0.31235588
grain,0.31134665
broccoli,0.30944353
dishcloth,0.3091081
bra,0.3087169
canister,0.30831486
conditioner,0.30795553
yeast,0.3076848
ballpoint,0.3076814
vaseline,0.3072717
supplier,0.30720982
vaporizer,0.3070744
tibia,0.306959
turbine,0.3058518
atoms,0.30559188
heroin,0.3052285
sewer,0.30449197
sleepwear,0.30432767
brassiere,0.30415523
icicle,0.304146
causeway,0.30402222
shedder,0.30351278
knitting,0.30350485
marinade,0.303102
sheet,0.30301672
winterberry,0.30231234
sterilizer,0.3020059
thumbscrew,0.30167735
hairspray,0.30139142
kerosene,0.30138263
headphone,0.30098823
plaster,0.30048352
mouthguard,0.300407
crepe,0.2998744
vertebrae,0.2996145
mattress,0.29950675
hammock,0.2992935
hyacinth,0.29904702
barley,0.29882705
floss,0.29848388
undergarment,0.29807112
magnet,0.29776567
honeydew,0.2972128
ultraviolet,0.2959846
shavings,0.29559624
grass,0.2949415
carbondioxide,0.29470897
drape,0.29364794
carpet,0.29355347
cone,0.29324967
tape,0.29299098
leakage,0.29298517
appliance,0.29283518
sesame,0.29282638
wiper,0.29240882
spreader,0.292376
barbwire,0.2922968
ivy,0.29099327
spearmint,0.29050073
gumdrop,0.28986767
flake,0.28976566
water,0.289395
dryer,0.28882325
cigarette,0.2887389
drapery,0.28806007
hanger,0.28743455
storage,0.28723937
plasma,0.28702837
cranberry,0.28671944
kneepad,0.28666824
ozone,0.2865827
casebook,0.28651592
strawberry,0.28639498
crabgrass,0.28638923
mildew,0.28611717
cleanser,0.28606442
dishtowel,0.28605905
respirator,0.28541228
melon,0.28519973
cones,0.28517544
goop,0.2849737
condensation,0.2849149
chevron,0.2846436
perfume,0.28437737
shoe,0.2843764
granite,0.28426453
garlic,0.28371716
pretzel,0.28344536
tableware,0.28182474
gloves,0.28179562
diffuser,0.28167504
penicillin,0.281658
iodine,0.2815446
uranium,0.28121287
thermos,0.2809529
tops,0.280749
gram,0.280739
buttercup,0.2806693
pecan,0.28025225
trapezoid,0.28012437
tofu,0.27988574
skin,0.27959642
broiler,0.27943528
dandelion,0.27925658
tobacco,0.27864227
ore,0.27861804
jellyfish,0.27811903
tarp,0.27802902
bungee,0.27714643
cauliflower,0.27690744
towels,0.27601352
hay,0.2758662
herringbone,0.2754061
cervix,0.2752061
pastry,0.2747859
linoleum,0.27447882
terracotta,0.2736926
clasp,0.2732873
crane,0.27294376
amphetamine,0.2728715
mouthwash,0.27270582
biosphere,0.27237862
thumbtack,0.27233446
lager,0.27229914
roof,0.2719768
pilaf,0.2718903
fuel,0.27171037
lanyard,0.27152324
